library_id	line	type	fastq_r1	fastq_r2
L7-12-01	L7	pull_down	../test_data/fastq/L7-12-01_S2_L001_R1_001.fastq.gz	../test_data/fastq/L7-12-01_S2_L001_R2_001.fastq.gz
L7-12-02	L7	pull_down	../test_data/fastq/L7-12-02_S3_L001_R1_001.fastq.gz	../test_data/fastq/L7-12-02_S3_L001_R2_001.fastq.gz
57-WC-48ATc	57-WC	PolyA-KO	../test_data/fastq/57-WC-48ATc_S11_L001_R1_001.fastq.gz	../test_data/fastq/57-WC-48ATc_S11_L001_R2_001.fastq.gz
57-WC-noATc	57-WC	Untreated	../test_data/fastq/57-WC-noATc_S10_L001_R1_001.fastq.gz	../test_data/fastq/57-WC-noATc_S10_L001_R2_001.fastq.gz
